ID,COURSECODE,COURSEDESC 
1,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
2,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
3,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
4,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
5,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
6,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
7,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
8,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
9,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
10,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
11,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
12,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
13,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
14,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
15,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
16,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
17,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
18,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
19,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
20,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
21,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
22,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
23,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
24,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
25,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
26,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
27,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
28,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
29,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
30,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
31,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
32,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
33,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
34,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
35,CC 2260,"CLINICAL CHEMISTRY 2 WITH ENDOCRINOLOGY,"
36,HEMA 2260,HEMATOLOGY 2
37,HEMA 2260,HEMATOLOGY 2
38,HEMA 2260,HEMATOLOGY 2
39,HEMA 2260,HEMATOLOGY 2
40,HEMA 2260,HEMATOLOGY 2
41,HEMA 2260,HEMATOLOGY 2
42,HEMA 2260,HEMATOLOGY 2
43,HEMA 2260,HEMATOLOGY 2
44,HEMA 2260,HEMATOLOGY 2
45,HEMA 2260,HEMATOLOGY 2
46,HEMA 2260,HEMATOLOGY 2
47,HEMA 2260,HEMATOLOGY 2
48,HEMA 2260,HEMATOLOGY 2
49,HEMA 2260,HEMATOLOGY 2
50,HEMA 2260,HEMATOLOGY 2
51,HEMA 2260,HEMATOLOGY 2
52,HEMA 2260,HEMATOLOGY 2
53,HEMA 2260,HEMATOLOGY 2
54,HEMA 2260,HEMATOLOGY 2
55,HEMA 2260,HEMATOLOGY 2
56,HEMA 2260,HEMATOLOGY 2
57,HEMA 2260,HEMATOLOGY 2
58,HEMA 2260,HEMATOLOGY 2
59,HEMA 2260,HEMATOLOGY 2
60,HEMA 2260,HEMATOLOGY 2
61,HEMA 2260,HEMATOLOGY 2
62,HEMA 2260,HEMATOLOGY 2
63,HEMA 2260,HEMATOLOGY 2
64,HEMA 2260,HEMATOLOGY 2
65,HEMA 2260,HEMATOLOGY 2
66,HEMA 2260,HEMATOLOGY 2
67,HEMA 2260,HEMATOLOGY 2
68,HEMA 2260,HEMATOLOGY 2
